排名,股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,市盈率,市净率,总市值,更新时间
1,300668,杰恩设计,42.65,18.47,6.65,162739,651894615.08,21.42,43.2,35.49,36.35,36.0,217.86,6.55,5134261293.0,2026-03-27 08:46:48
1,689009,九号公司-WD,0,0,0,0,0,0,0,0,0,46.45,19.13,4.67,33567420019.0,2026-03-27 09:02:39
1,920069,N普昂,39.45,114.635,0.0,1757968.0,68537473.0,0,39.88,37.88,39.0,18.38,0.0,0.0,0.0,2026-03-27 09:32:30
1,300054,鼎龙股份,51.87,14.68,6.64,516535.0,2580474992.5,9.02,52.0,47.92,47.92,45.23,68.28,9.47,49176254845.0,2026-03-27 10:02:32
2,300054,鼎龙股份,49.8,10.104,0.0,12348230.0,605044115.0,0,49.89,47.92,47.92,45.23,0.0,0.0,0.0,2026-03-27 09:32:30
2,301306,西测测试,154.32,16.28,21.61,146488,2112016791.27,19.78,159.25,133.0,136.0,132.71,-92.17,14.23,13024608000.0,2026-03-27 08:45:48
2,688068,热景生物,124.03,12.64,13.92,21061.0,249449665.0,16.73,125.99,107.57,109.08,110.11,-54.62,4.62,11498565798.0,2026-03-27 10:02:32
2,688981,中芯国际,0,0,0,0,0,0,0,0,0,96.88,153.78,5.14,775181078206.0,2026-03-27 09:02:39
3,688819,天能股份,0,0,0,0,0,0,0,0,0,33.22,20.3,1.89,32293162000.0,2026-03-27 09:02:39
3,300858,科拓生物,16.96,11.87,1.8,63119.0,102582465.81,14.12,17.15,15.01,15.01,15.16,43.97,2.45,4468877201.0,2026-03-27 10:02:32
3,822,山东海化,6.45,10.068,0.0,27262153.0,171389458.0,0,6.45,5.98,6.04,5.86,0.0,0.0,0.0,2026-03-27 09:32:30
4,603585,苏利股份,20.74,10.027,0.0,2137716.0,43723711.0,0,20.74,19.57,19.6,18.85,0.0,0.0,0.0,2026-03-27 09:32:30
4,301327,华宝新能,79.36,10.75,7.7,87701.0,679392436.65,17.39,82.66,70.2,70.3,71.66,72.83,2.23,13838904412.0,2026-03-27 10:02:32
4,688818,电科蓝天,-,-,-,-,-,-,-,-,-,62.73,332.86,25.5,108957235620.0,2026-03-27 09:01:58
4,300736,百邦科技,22.61,13.05,2.61,171726,379471446.11,17.6,23.41,19.89,19.99,20.0,-126.19,35.09,2892595066.0,2026-03-27 08:45:48
5,301587,中瑞股份,27.03,10.33,2.53,208477,566151165.86,17.47,28.49,24.21,24.56,24.5,118.84,1.99,3982276921.0,2026-03-27 08:46:48
5,688141,杰华特,53.25,10.18,4.92,90520.0,457933072.0,13.86,53.5,46.8,47.9,48.33,-33.46,15.39,23979625679.0,2026-03-27 10:02:32
5,688816,易思维,0,0,0,0,0,0,0,0,0,62.83,82.1,8.37,6283000000.0,2026-03-27 09:02:39
6,688813,泰金新能,0,0,0,0,0,0,0,0,0,26.28,20.62,4.07,4204800000.0,2026-03-27 09:02:39
6,000822,山东海化,6.45,10.07,0.59,681208.0,433968306.72,8.02,6.45,5.98,6.04,5.86,-4.16,1.51,5773342923.0,2026-03-27 10:02:32
6,600996,贵广网络,10.02,9.989,0.0,8957100.0,89750142.0,0,10.02,10.02,10.02,9.11,0.0,0.0,0.0,2026-03-27 09:32:30
7,688811,有研复材,-,-,-,-,-,-,-,-,-,6.41,35.1,2.96,2379638580.0,2026-03-27 09:01:58
7,001313,粤海饲料,7.56,10.04,0.69,161009.0,118339227.08,9.9,7.56,6.88,6.88,6.87,151.5,2.08,5292000000.0,2026-03-27 10:02:32
8,000890,法尔胜,13.48,10.04,1.23,601427.0,788199417.29,8.41,13.48,12.45,13.09,12.25,-186.3,-1020.17,5654913489.0,2026-03-27 10:02:32
8,688809,强一股份,-,-,-,-,-,-,-,-,-,315.0,102.55,10.02,40811179500.0,2026-03-27 09:01:58
8,720,新能泰山,5.01,10.11,0.46,211712,106067571.72,0.0,5.01,5.01,5.01,4.55,-1189.96,2.67,6295223171.0,2026-03-27 08:45:48
8,2470,金正大,3.09,9.964,0.0,120824700.0,360226944.0,0,3.09,2.73,2.76,2.81,0.0,0.0,0.0,2026-03-27 09:32:30
9,688807,优迅股份,0,0,0,0,0,0,0,0,0,211.84,192.31,9.6,16947200000.0,2026-03-27 09:02:39
9,600310,广西能源,6.0,10.09,0.55,1995784,1118519214.0,14.68,6.0,5.2,5.31,5.45,-41.69,3.2,8794264332.0,2026-03-27 08:46:48
9,600769,祥龙电业,13.6,10.03,1.24,108395.0,142678779.0,10.92,13.6,12.25,12.27,12.36,222.24,42.44,5099689920.0,2026-03-27 10:02:32
10,002310,东方新能,3.84,10.03,0.35,4980884.0,1832349455.81,16.91,3.84,3.25,3.38,3.49,-8363.26,14.99,23037396929.0,2026-03-27 10:02:32
10,600726,华电能源,6.77,10.08,0.62,5967171,3760289391.0,15.45,6.77,5.82,6.21,6.15,150.27,13.02,53532666142.0,2026-03-27 08:45:48
10,688622,禾信仪器,93.72,8.46,0.0,377644.0,34772678.0,0,94.5,86.7,86.7,86.41,0.0,0.0,0.0,2026-03-27 09:32:30
10,688805,健信超导,0,0,0,0,0,0,0,0,0,43.16,96.35,5.92,7237068800.0,2026-03-27 09:02:39
11,603585,苏利股份,20.74,10.03,1.89,28639.0,58783855.0,6.21,20.74,19.57,19.6,18.85,20.88,1.53,3876134418.0,2026-03-27 10:02:32
11,688802,沐曦股份-U,0,0,0,0,0,0,0,0,0,605.81,-307.03,18.41,242384581000.0,2026-03-27 09:02:39
11,601908,京运通,5.03,10.07,0.46,2775282,1331663754.0,12.47,5.03,4.46,4.5,4.57,-40.06,1.38,12145452391.0,2026-03-27 08:46:48
11,300813,泰林生物,30.13,7.993,0.0,2112808.0,62443625.0,0,30.78,27.97,28.2,27.9,0.0,0.0,0.0,2026-03-27 09:32:30
12,688800,瑞可达,-,-,-,-,-,-,-,-,-,88.29,59.14,7.65,18158987037.0,2026-03-27 09:01:58
12,002265,建设工业,25.03,10.02,2.28,184140.0,449859383.44,11.12,25.03,22.5,22.55,22.75,647.92,7.08,25857001387.0,2026-03-27 10:02:32
12,2471,中超控股,8.76,10.05,0.8,1315301,1152180502.56,0.75,8.76,8.7,8.76,7.96,-359.97,6.87,11990337600.0,2026-03-27 08:45:48
13,695,滨海能源,13.89,6.928,0.0,5462700.0,74330547.0,0,14.12,12.85,12.93,12.99,0.0,0.0,0.0,2026-03-27 09:32:30
13,688799,华纳药厂,-,-,-,-,-,-,-,-,-,49.06,26.68,3.15,6442559200.0,2026-03-27 09:01:58
13,603076,乐惠国际,28.12,10.02,2.56,51770.0,142334862.0,11.82,28.12,25.1,25.3,25.56,75.76,2.62,3394121793.0,2026-03-27 10:02:32
14,600617,国新能源,4.52,6.856,0.0,39866225.0,177366403.0,0,4.62,4.24,4.26,4.23,0.0,0.0,0.0,2026-03-27 09:32:30
14,600207,安彩高科,6.58,10.03,0.6,921017,580191692.0,14.21,6.58,5.73,5.91,5.98,-15.04,3.0,7167676605.0,2026-03-27 08:45:48
14,600727,鲁北化工,7.8,10.01,0.71,277000.0,212809978.0,7.76,7.8,7.25,7.25,7.09,71.27,1.29,4122948453.0,2026-03-27 10:02:32
14,688798,艾为电子,0,0,0,0,0,0,0,0,0,66.55,49.01,3.7,15514710726.0,2026-03-27 09:02:39
15,688796,百奥赛图,-,-,-,-,-,-,-,-,-,82.43,212.69,16.94,36837836761.0,2026-03-27 09:01:58
15,002082,万邦德,26.04,10.01,2.37,251997.0,624259439.55,12.67,26.04,23.04,23.25,23.67,-80.13,6.41,15928382992.0,2026-03-27 10:02:32
15,2361,神剑股份,12.4,10.03,1.13,1581372,1875878837.51,10.74,12.4,11.19,11.51,11.27,291.71,5.33,11792833616.0,2026-03-27 08:46:48
15,688605,先锋精科,59.9,6.679,0.0,1271647.0,75587597.0,0,60.44,58.0,58.0,56.15,0.0,0.0,0.0,2026-03-27 09:32:30
