排名,股票代码,股票名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,市盈率,市净率,总市值,更新时间
1,920069,N普昂,39.45,114.635,0.0,1757968.0,68537473.0,0,39.88,37.88,39.0,18.38,0,0,0,2026-03-27 09:32:30
2,300054,鼎龙股份,49.8,10.104,0.0,12348230.0,605044115.0,0,49.89,47.92,47.92,45.23,0,0,0,2026-03-27 09:32:30
3,000822,山东海化,6.45,10.068,0.0,27262153.0,171389458.0,0,6.45,5.98,6.04,5.86,0,0,0,2026-03-27 09:32:30
4,603585,苏利股份,20.74,10.027,0.0,2137716.0,43723711.0,0,20.74,19.57,19.6,18.85,0,0,0,2026-03-27 09:32:30
5,600310,广西能源,6.6,10.0,0.0,27284017.0,180074512.0,0,6.6,6.6,6.6,6.0,0,0,0,2026-03-27 09:32:30
6,600996,贵广网络,10.02,9.989,0.0,8957100.0,89750142.0,0,10.02,10.02,10.02,9.11,0,0,0,2026-03-27 09:32:30
7,000720,新能泰山,5.51,9.98,0.0,115760599.0,634060460.0,0,5.51,5.42,5.43,5.01,0,0,0,2026-03-27 09:32:30
8,002470,金正大,3.09,9.964,0.0,120824700.0,360226944.0,0,3.09,2.73,2.76,2.81,0,0,0,2026-03-27 09:32:30
9,000767,晋控电力,5.09,9.935,0.0,220031226.0,1104074988.0,0,5.09,4.82,4.9,4.63,0,0,0,2026-03-27 09:32:30
10,688622,禾信仪器,93.72,8.46,0.0,377644.0,34772678.0,0,94.5,86.7,86.7,86.41,0,0,0,2026-03-27 09:32:30
11,300813,泰林生物,30.13,7.993,0.0,2112808.0,62443625.0,0,30.78,27.97,28.2,27.9,0,0,0,2026-03-27 09:32:30
12,603538,美诺华,38.2,7.243,0.0,10138113.0,388042074.0,0,39.18,37.17,37.94,35.62,0,0,0,2026-03-27 09:32:30
13,000695,滨海能源,13.89,6.928,0.0,5462700.0,74330547.0,0,14.12,12.85,12.93,12.99,0,0,0,2026-03-27 09:32:30
14,600617,国新能源,4.52,6.856,0.0,39866225.0,177366403.0,0,4.62,4.24,4.26,4.23,0,0,0,2026-03-27 09:32:30
15,688605,先锋精科,59.9,6.679,0.0,1271647.0,75587597.0,0,60.44,58.0,58.0,56.15,0,0,0,2026-03-27 09:32:30
16,600771,广誉远,16.97,6.595,0.0,2831895.0,48028432.0,0,17.34,16.66,16.66,15.92,0,0,0,2026-03-27 09:32:30
17,300209,行云科技,10.85,6.582,0.0,19620800.0,207834471.0,0,11.03,10.32,10.32,10.18,0,0,0,2026-03-27 09:32:30
18,605028,世茂能源,29.28,6.357,0.0,1020200.0,29849914.0,0,30.28,27.0,27.18,27.53,0,0,0,2026-03-27 09:32:30
19,600727,鲁北化工,7.54,6.347,0.0,8818300.0,65984138.0,0,7.68,7.25,7.25,7.09,0,0,0,2026-03-27 09:32:30
20,000692,惠天热电,5.21,6.327,0.0,37766900.0,201215025.0,0,5.39,5.04,5.39,4.9,0,0,0,2026-03-27 09:32:30
21,603076,乐惠国际,27.16,6.26,0.0,602796.0,15859275.0,0,27.25,25.1,25.3,25.56,0,0,0,2026-03-27 09:32:30
22,688196,卓越新能,84.0,6.222,0.0,348880.0,28635121.0,0,84.23,80.0,81.68,79.08,0,0,0,2026-03-27 09:32:30
23,301292,海科新源,85.22,6.206,0.0,5124197.0,420369462.0,0,85.97,78.09,80.01,80.24,0,0,0,2026-03-27 09:32:30
24,002265,建设工业,24.1,5.934,0.0,6153568.0,144478691.0,0,24.35,22.5,22.55,22.75,0,0,0,2026-03-27 09:32:30
25,688390,固德威,102.93,5.786,0.0,1258664.0,127191787.0,0,103.25,97.78,97.78,97.3,0,0,0,2026-03-27 09:32:30
26,600268,国电南自,14.37,5.429,0.0,7635852.0,108272984.0,0,14.43,13.67,13.67,13.63,0,0,0,2026-03-27 09:32:30
27,600691,潞化科技,3.66,5.172,0.0,19175791.0,68490056.0,0,3.67,3.43,3.43,3.48,0,0,0,2026-03-27 09:32:30
28,002209,达 意 隆,16.22,4.984,0.0,2312600.0,36745028.0,0,16.3,15.33,15.56,15.45,0,0,0,2026-03-27 09:32:30
29,002620,ST瑞和,8.69,4.952,0.0,23434905.0,203487068.0,0,8.69,8.49,8.69,8.28,0,0,0,2026-03-27 09:32:30
30,600136,ST明诚,2.13,4.926,0.0,42619215.0,90132872.0,0,2.13,2.01,2.13,2.03,0,0,0,2026-03-27 09:32:30
31,600107,ST尔雅,6.67,4.874,0.0,4501621.0,29635372.0,0,6.68,6.37,6.42,6.36,0,0,0,2026-03-27 09:32:30
32,688268,华特气体,100.79,4.826,0.0,1314835.0,130049202.0,0,100.79,96.8,96.95,96.15,0,0,0,2026-03-27 09:32:30
33,600784,鲁银投资,7.29,4.741,0.0,1237996.0,8803745.0,0,7.31,6.93,6.96,6.96,0,0,0,2026-03-27 09:32:30
